freq,plants,operator,nrg_bal,siec,unit,Alpha_2_code,EU?,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,CHP,PRR_AUTO,GEP,CF,GWH,MT,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,5000,9000,6000,7000,7000,8307,9738,8956,6401,5893
A,CHP,PRR_AUTO,GEP,CF,GWH,NL,TRUE,11938000,12115000,13337000,12232000,12617000,10757000,11101000,11459000,11495000,11089000,11543000,11332000,11249000,11200000,11374000,12294000,14680000,16647000,19715000,19502000,21743000,22620000,23215000,22266000,19295000,20019772,19993973,21538985,22221331,22771221,25638142
A,CHP,PRR_AUTO,GEP,CF,GWH,NO,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2141000,2507000,2564000,2425000,2587000,2596000,2598000,2521000,2585687,2379368,1800897
A,CHP,PRR_AUTO,GEP,CF,GWH,PL,TRUE,8099000,7852000,8150000,8525000,8432000,8361000,8131000,8006000,7485000,7203000,7201000,7714000,7808000,7996000,7901000,7820000,7903000,7612000,6673000,6845000,7881000,8235000,8365000,8802000,8729000,9206000,10263000,11680980,14418337,16263007,16741051
A,CHP,PRR_AUTO,GEP,CF,GWH,PT,TRUE,1403000,1602000,1785000,2126000,2620000,3096000,3210000,3770000,3948000,4504000,4256000,4124000,4563000,4464000,4504000,4871000,5076000,5732000,5364000,5801000,6968000,7402000,7376000,7869000,7287000,6976000,6809000,6955614,6885347,7040924,6973125
A,CHP,PRR_AUTO,GEP,CF,GWH,RO,TRUE,0.000 ,0.000 ,1548000,1355000,1235000,1111000,1114000,936000,1044000,1178000,1313000,1355000,1607000,1718000,2134000,2185000,2035000,2122000,2442000,1764000,1957000,2133000,2223000,1749000,1561000,1467000,967000,956182,1001059,1214149,1135190
A,CHP,PRR_AUTO,GEP,CF,GWH,RS,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,188000,124000,101000,11000,14000,156000,146000,171000,202000,289000,318000,453000,526346,542808,470103,473826
A,CHP,PRR_AUTO,GEP,CF,GWH,SE,TRUE,2746000,2981000,3165000,3616000,3920000,3929000,4095000,4008000,3728000,3544000,3777000,3920000,4496000,4594000,4741000,4704000,5179000,5972000,6456000,5573000,6592000,6000000,6333000,5844000,5785000,5816000,5727000,6203000,6128000,6959000,6609000
A,CHP,PRR_AUTO,GEP,CF,GWH,SI,TRUE,1004000,600000,466000,411000,369000,417000,365000,421000,353000,363000,450000,422000,320000,322000,362000,355000,308000,293000,269000,291000,286000,242000,246000,243000,267000,265000,265000,265174,253974,260151,272190
A,CHP,PRR_AUTO,GEP,CF,GWH,SK,TRUE,2583000,2361000,2492000,1590000,1344000,1661000,1585000,1802000,1251000,1359000,1570000,2293000,2303000,2284000,2191000,2325000,2656000,2600000,2617000,1936000,1862000,1947000,1941000,1703000,2145000,2396000,2355000,2415000,2810000,2402000,2369000
A,CHP,PRR_AUTO,GEP,CF,GWH,TR,FALSE,3143000,3221000,3560000,3921000,4266000,5264000,5647000,7185000,9284000,11360000,5003000,5447000,5465000,5046000,4481000,5053000,5458000,6273000,5645000,4370000,4307000,3873000,3783000,3814000,4418000,4546000,5395000,5578213,7015408,8543565,8386216
A,CHP,PRR_AUTO,GEP,CF,GWH,UA,FALSE,7927000,7392000,6698000,6098000,5382000,5146000,4853000,4721000,4584000,4565000,4547000,4588000,4440000,4848000,5167000,4801000,4720000,4338000,4929000,4259000,4380000,4929000,3314000,2804000,2561000,1504000,5415000,3621900,2300900,1758900,2651600
A,CHP,PRR_AUTO,GEP,CF,GWH,UK,FALSE,9846000,10997000,12495000,12277000,12665000,14473000,15964000,16763000,18685000,20236000,26764000,22445000,24421000,24613000,25952000,27202000,27213000,26286000,26013000,24929000,25295000,21800000,21781000,18789000,18941000,19140599,20127036,20635566,20891207,23380059,: 
A,CHP,PRR_AUTO,GEP,CF,GWH,XK,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,AL,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,AT,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,BA,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,BE,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,BG,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,CY,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,CZ,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,DE,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,DK,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,N9000,GWH,EA19,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
