,iso_code,country,EU?,count,total_capacity_gw,max_capacity_mw,count_distinct_fuel,count_distinct_name,count_distinct_owner,count_distinct_source,count_fuel_coal,capacity_gw_fuel_coal,count_fuel_gas,capacity_gw_fuel_gas,count_fuel_oil,capacity_gw_fuel_oil,count_fuel_petcoke,capacity_gw_fuel_petcoke,count_fuel_hydro,capacity_gw_fuel_hydro,count_fuel_nuclear,capacity_gw_fuel_nuclear,count_fuel_wind,capacity_gw_fuel_wind,count_fuel_solar,capacity_gw_fuel_solar,count_fuel_geothermal,capacity_gw_fuel_geothermal,count_fuel_biomass,capacity_gw_fuel_biomass,count_fuel_cogeneration,capacity_gw_fuel_cogeneration,count_fuel_waste,capacity_gw_fuel_waste,count_fuel_wave_and_tidal,capacity_gw_fuel_wave_and_tidal,count_fuel_storage,capacity_gw_fuel_storage,count_fuel_other,capacity_gw_fuel_other,count_null_name,count_null_gppd_idnr,count_null_capacity_mw,count_null_year_of_capacity_data,count_null_owner,count_null_source,count_null_url,count_null_latitude,count_null_longitude,count_null_fuel,count_wepp_id,capacity_gw_wepp_id,count_null_generation_gwh_all,count_generation_gwh_2013,count_generation_gwh_2014,count_generation_gwh_2015,count_generation_gwh_2016,count_generation_gwh_2017,count_generation_gwh_2018,count_generation_gwh_2019,count_generation_data_source,count_estimated_generation_gwh
12,AZE,Azerbaijan,False,14,5.764,2400.0,3.0,14.0,1.0,1.0,0.0,0.0,8.0,2.39,2.0,3.18,0.0,0.0,5.0,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
13,BHS,Bahamas,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BHR,Bahrain,False,8,7.5863,2204.0,3.0,8.0,5.0,3.0,0.0,0.0,6.0,7.574,1.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
15,BGD,Bangladesh,False,57,11.84,1649.0,5.0,57.0,11.0,2.0,1.0,0.25,27.0,8.767,29.0,4.584,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,2.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
16,BRB,Barbados,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BLR,Belarus,False,24,8.5349,2460.0,2.0,24.0,1.0,2.0,0.0,0.0,17.0,8.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
18,BEL,Belgium,True,69,13.404800000000003,2910.0,9.0,69.0,1.0,3.0,1.0,0.47,20.0,3.8558,9.0,0.1819999999999999,0.0,0.0,11.0,1.3933000000000002,3.0,5.925800000000001,12.0,0.8753000000000001,3.0,0.1162,0.0,0.0,2.0,0.363,0.0,0.0,8.0,0.2234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.872200000000005,0.0,0.0,0.0,19.0,17.0,17.0,0.0,0.0,21.0,69.0
19,BLZ,Belize,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BEN,Benin,False,2,0.0605,40.5,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0405,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21,BMU,Bermuda,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BTN,Bhutan,False,5,1.4822,1020.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4182,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BOL,Bolivia,False,26,1.56312,350.0,3.0,26.0,1.0,2.0,0.0,0.0,9.0,1.05342,0.0,0.0,0.0,0.0,14.0,0.4491,0.0,0.0,0.0,0.0,3.0,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.36452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
24,BIH,Bosnia and Herzegovina,False,20,3.9855,730.0,2.0,20.0,1.0,1.0,4.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.3115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
25,BWA,Botswana,False,2,0.746,732.0,1.0,2.0,2.0,1.0,2.0,0.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26,BRA,Brazil,False,2360,147.58927132999986,8535.0,10.0,2267.0,1.0,2.0,19.0,2.7928810000000004,118.0,11.286004460000008,627.0,8.281470739999993,0.0,0.0,701.0,98.03938389999996,2.0,1.99,412.0,10.294953999999995,24.0,1.8073686300000005,0.0,0.0,444.0,12.843814599999993,0.0,0.0,12.0,0.106094,0.0,0.0,0.0,0.0,1.0,0.1473,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,100.53156073999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0
27,VGB,British Virgin Islands,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BRN,Brunei Darussalam,False,4,0.586,246.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
29,BGR,Bulgaria,True,43,9.252199999999998,2000.0,5.0,43.0,10.0,3.0,11.0,4.859,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.958,1.0,2.0,1.0,0.156,23.0,0.2792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.899,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,43.0
30,BFA,Burkina Faso,False,7,0.229306,64.0,3.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.146406,0.0,0.0,2.0,0.03,0.0,0.0,0.0,0.0,2.0,0.0528999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.176406,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
